[2025-08-16 18:03:14.487] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-16 18:03:15.262] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-16 18:03:16.030] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"102dto55773ex3p58gp94ql90"}}
[2025-08-16 18:03:16.301] [IN] {"csb":{"rc":0,"msg":"Client subscribed"}}
[2025-08-16 18:03:16.302] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":419,"TS":"2025-08-16T13:32:49.948","TID":85,"PID":2,"M":45,"S":33,"PLID":78916,"PLUUID":"6f1ljb0an6d0g4nbap6xgxsyd","PN":"D. Burn","TEAMID":4,"TUUID":"7vn2i2kd35zuetw6b38gw9jsz","O":0,"X":-1.9,"Y":97.6,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":0,"Q":[]}}}
[2025-08-16 18:03:29.204] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":362,"TS":"2025-08-16T13:33:28.447","TID":1,"PID":2,"M":46,"S":12,"PLID":101188,"PLUUID":"e8gz0tmmdh1ql8qrn1ncrvnpx","PN":"L. Digne","TEAMID":7,"TUUID":"b496gs285it6bheuikox6z9mj","O":1,"X":99.5,"Y":0.5,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":1,"Q":[{"I":6,"V":["NULL"]},{"I":56,"V":["Right"]},{"I":140,"V":["88.4"]},{"I":141,"V":["3.8"]},{"I":212,"V":["11.86906"]},{"I":213,"V":["2.951385"]},{"I":318,"V":["0.00049813"]}]}}}
[2025-08-16 18:03:32.388] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":363,"TS":"2025-08-16T13:33:29.376","TID":1,"PID":2,"M":46,"S":13,"PLID":199796,"PLUUID":"1e9txzr9hqz94xtun6byo0vs9","PN":"M. Cash","TEAMID":7,"TUUID":"b496gs285it6bheuikox6z9mj","O":1,"X":88.4,"Y":3.8,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["76.5"]},{"I":141,"V":["7.6"]},{"I":212,"V":["12.75939"]},{"I":213,"V":["2.937665"]},{"I":318,"V":["0.00058319"]}]}}}
[2025-08-16 18:03:34.989] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":420,"TS":"2025-08-16T13:33:35.51","TID":44,"PID":2,"M":46,"S":18,"PLID":180974,"PLUUID":"c589fk8pfqvbukvtdqu1yhjv9","PN":"Joelinton","TEAMID":4,"TUUID":"7vn2i2kd35zuetw6b38gw9jsz","O":0,"X":8,"Y":47.6,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-16 18:03:35.806] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":364,"TS":"2025-08-16T13:33:33.167","TID":1,"PID":2,"M":46,"S":16,"PLID":122806,"PLUUID":"btvuam6p4391am219taqtcted","PN":"J. McGinn","TEAMID":7,"TUUID":"b496gs285it6bheuikox6z9mj","O":1,"X":81.2,"Y":8.2,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":1,"Q":[{"I":2,"V":["NULL"]},{"I":155,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["90.3"]},{"I":141,"V":["49.0"]},{"I":212,"V":["29.34327"]},{"I":213,"V":["1.23912"]},{"I":318,"V":["0.0724524"]}]}}}
[2025-08-16 18:03:36.214] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":421,"TS":"2025-08-16T13:33:36.491","TID":63,"PID":2,"M":46,"S":20,"PLID":98747,"PLUUID":"9s9i1a7hdq5bud8ma2dqi295h","PN":"N. Pope","TEAMID":4,"TUUID":"7vn2i2kd35zuetw6b38gw9jsz","O":0,"X":3.5,"Y":49.3,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":0,"Q":[{"I":173,"V":["NULL"]},{"I":178,"V":["NULL"]},{"I":182,"V":["NULL"]},{"I":56,"V":["Back"]}]}}}
[2025-08-16 18:03:36.800] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":365,"TS":"2025-08-16T13:33:35.991","TID":44,"PID":2,"M":46,"S":19,"PLID":226944,"PLUUID":"blth4klpu88kgh73abpjlgusp","PN":"B. Kamara","TEAMID":7,"TUUID":"b496gs285it6bheuikox6z9mj","O":1,"X":90.9,"Y":49,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-16 18:03:36.837] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":422,"TS":"2025-08-16T13:33:37.132","TID":52,"PID":2,"M":46,"S":20,"PLID":98747,"PLUUID":"9s9i1a7hdq5bud8ma2dqi295h","PN":"N. Pope","TEAMID":4,"TUUID":"7vn2i2kd35zuetw6b38gw9jsz","O":0,"X":3.5,"Y":49.3,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":0,"Q":[]}}}
[2025-08-16 18:03:37.010] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":366,"TS":"2025-08-16T13:33:36.320","TID":39,"PID":2,"M":46,"S":20,"PLID":226944,"PLUUID":"blth4klpu88kgh73abpjlgusp","PN":"B. Kamara","TEAMID":7,"TUUID":"b496gs285it6bheuikox6z9mj","O":1,"X":90.9,"Y":49,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":1,"Q":[{"I":22,"V":["NULL"]},{"I":17,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":327,"V":["2"]},{"I":326,"V":["2"]},{"I":249,"V":["NULL"]}]}}}
