[2025-08-16 19:13:29.352] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-16 19:13:30.108] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-16 19:13:30.867] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"11i3orjflpi9empra6uuduwpg"}}
[2025-08-16 19:13:31.117] [IN] {"csb":{"rc":0,"msg":"Client subscribed"}}
[2025-08-16 19:13:31.119] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":2,"TS":"2025-08-16T13:55:23.90","TID":34,"PID":16,"M":0,"S":0,"PLID":0,"TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":50,"Y":50,"STAT":{"CPID":15,"SC":"0:0"},"RTL":-1,"Q":[{"I":30,"V":["467189, 214590, 613804, 210494, 214048, 462116, 101178, 197024, 224024, 178186, 91889, 84182, 158534, 213999, 75115, 233963, 215439, 536109, 490142, 229384"]},{"I":44,"V":["1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5"]},{"I":59,"V":["1, 29, 12, 5, 3, 25, 8, 24, 10, 20, 11, 23, 2, 4, 9, 15, 28, 30, 32, 39"]},{"I":130,"V":["18"]},{"I":131,"V":["1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0"]},{"I":194,"V":["178186"]},{"I":197,"V":["31639"]},{"I":227,"V":["0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"]}]}}}
[2025-08-16 19:31:37.622] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":3,"TS":"2025-08-16T15:01:37.591","TID":32,"PID":1,"M":0,"S":0,"PLID":0,"PLUUID":"8dpn2g5hk73nsc47p61zs8oic","PN":"Isidre Ram\u00f3n Madir","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":0,"X":100,"Y":100,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":127,"V":["Right to Left"]}]}}}
[2025-08-16 19:31:37.760] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":3,"TS":"2025-08-16T15:01:37.695","TID":32,"PID":1,"M":0,"S":0,"PLID":0,"TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":0,"X":0,"Y":0,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":127,"V":["Left to Right"]}]}}}
[2025-08-16 19:31:41.740] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":4,"TS":"2025-08-16T15:01:37.592","TID":1,"PID":1,"M":0,"S":0,"PLID":101178,"PLUUID":"7r6vds5j65fohi1k28cnqjqvp","PN":"J. Ward-Prowse","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":50,"Y":50,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["23.2"]},{"I":141,"V":["58.7"]},{"I":212,"V":["28.75515"]},{"I":213,"V":["2.934376"]},{"I":279,"V":["S"]},{"I":318,"V":["0.00000529"]}]}}}
[2025-08-16 19:31:46.724] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":4,"TS":"2025-08-16T15:01:46.592","TID":44,"PID":1,"M":0,"S":9,"PLID":84450,"PLUUID":"6264xjr1y00yu7b9j2pknalzp","PN":"G. Xhaka","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":1,"X":30.2,"Y":33.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-16 19:31:46.936] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":5,"TS":"2025-08-16T15:01:41.968","TID":1,"PID":1,"M":0,"S":4,"PLID":467189,"PLUUID":"eobf6cct1dpm7bdqyatg6ejmx","PN":"M. Hermansen","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":26.1,"Y":60,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":157,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["72.3"]},{"I":141,"V":["70"]},{"I":212,"V":["48.98428"]},{"I":213,"V":["0.1392698"]},{"I":1,"V":["NULL"]},{"I":318,"V":["0.00139179"]}]}}}
[2025-08-16 19:31:47.324] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":6,"TS":"2025-08-16T15:01:47.200","TID":44,"PID":1,"M":0,"S":9,"PLID":91889,"PLUUID":"cjq9g6zgcxk1ceo2xzpe1qnyt","PN":"N. F\u00fcllkrug","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":72.3,"Y":70,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-16 19:31:48.551] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":5,"TS":"2025-08-16T15:01:46.881","TID":1,"PID":1,"M":0,"S":9,"PLID":84450,"PLUUID":"6264xjr1y00yu7b9j2pknalzp","PN":"G. Xhaka","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":1,"X":30.2,"Y":33.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":3,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["35.0"]},{"I":141,"V":["43.6"]},{"I":212,"V":["8.409603"]},{"I":213,"V":["0.9281514"]},{"I":318,"V":["0.00000688"]}]}}}
[2025-08-16 19:31:48.936] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":6,"TS":"2025-08-16T15:01:48.464","TID":1,"PID":1,"M":0,"S":10,"PLID":535818,"PLUUID":"ai5p5wgft6c09bjbldz9sfeac","PN":"S. Adingra","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":0,"X":35.8,"Y":44.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":157,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["48.5"]},{"I":141,"V":["43.7"]},{"I":212,"V":["13.35994"]},{"I":213,"V":["6.222069"]},{"I":1,"V":["NULL"]}]}}}
