[2025-08-17 18:38:24.217] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-17 18:38:24.935] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-17 18:38:25.673] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"12znl0wq9dni0y2j3xb2dsmj8"}}
[2025-08-17 18:38:25.889] [IN] {"csb":{"rc":0,"msg":"Client subscribed"}}
[2025-08-17 18:38:25.891] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":51,"TS":"2025-08-17T14:08:25.304","TID":86,"PID":1,"M":7,"S":32,"PLID":232185,"PLUUID":"44s112hd02w1i2ucvai9jy7e1","PN":"I. Sarr","TEAMID":31,"TUUID":"1c8m2ko0wxq1asfkuykurdr0y","O":1,"X":55.4,"Y":92.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[]}}}
[2025-08-17 18:38:53.745] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":44,"TS":"2025-08-17T14:03:38.903","TID":15,"PID":1,"M":2,"S":45,"PLID":179268,"PLUUID":"7c2wnewpcf1idj6ghj6gu0wyd","PN":"Marc Cucurella","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":97.7,"Y":58.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":142,"V":["NULL"]},{"I":320,"V":["1"]},{"I":360,"V":["checked by gs."]},{"I":233,"V":["11"]},{"I":372,"V":["7mcb2nlg241fgfc8ndvjwj5y0"]},{"I":25,"V":["NULL"]},{"I":15,"V":["NULL"]},{"I":61,"V":["NULL"]},{"I":80,"V":["NULL"]},{"I":29,"V":["NULL"]},{"I":154,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":55,"V":["42"]},{"I":368,"V":["8dozdbxbxnhwbdtj7s5frylju"]},{"I":102,"V":["46.4"]},{"I":103,"V":["19"]},{"I":321,"V":["0.0934"]},{"I":328,"V":["NULL"]},{"I":327,"V":["2"]},{"I":326,"V":["3"]},{"I":100,"V":["NULL"]},{"I":82,"V":["NULL"]},{"I":101,"V":["NULL"]},{"I":146,"V":["99.8"]},{"I":147,"V":["47.5"]},{"I":230,"V":["0"]},{"I":231,"V":["47.1111111111111"]}]}}}
[2025-08-17 18:39:03.116] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":44,"TS":"2025-08-17T14:03:38.903","TID":15,"PID":1,"M":2,"S":45,"PLID":179268,"PLUUID":"7c2wnewpcf1idj6ghj6gu0wyd","PN":"Marc Cucurella","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":97.7,"Y":58.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":320,"V":["1"]},{"I":360,"V":["checked by gs."]},{"I":233,"V":["11"]},{"I":372,"V":["7mcb2nlg241fgfc8ndvjwj5y0"]},{"I":25,"V":["NULL"]},{"I":15,"V":["NULL"]},{"I":61,"V":["NULL"]},{"I":80,"V":["NULL"]},{"I":29,"V":["NULL"]},{"I":154,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":55,"V":["42"]},{"I":368,"V":["8dozdbxbxnhwbdtj7s5frylju"]},{"I":102,"V":["46.4"]},{"I":103,"V":["19"]},{"I":321,"V":["0.0934"]},{"I":328,"V":["NULL"]},{"I":327,"V":["2"]},{"I":326,"V":["3"]},{"I":100,"V":["NULL"]},{"I":82,"V":["NULL"]},{"I":101,"V":["NULL"]},{"I":146,"V":["99.8"]},{"I":147,"V":["47.5"]},{"I":230,"V":["0"]},{"I":231,"V":["47.1111111111111"]}]}}}
[2025-08-17 18:39:29.500] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":52,"TS":"2025-08-17T14:09:27.336","TID":1,"PID":1,"M":8,"S":34,"PLID":232413,"PLUUID":"4wic6z72nwmhkheme209fcmp5","PN":"E. Eze","TEAMID":31,"TUUID":"1c8m2ko0wxq1asfkuykurdr0y","O":0,"X":61.5,"Y":94.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":2,"V":["NULL"]},{"I":5,"V":["NULL"]},{"I":155,"V":["NULL"]},{"I":152,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["86.2"]},{"I":141,"V":["56.1"]},{"I":212,"V":["36.803"]},{"I":213,"V":["5.494386"]},{"I":1,"V":["NULL"]}]}}}
[2025-08-17 18:39:30.259] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":77,"TS":"2025-08-17T14:09:29.957","TID":12,"PID":1,"M":8,"S":36,"PLID":180736,"PLUUID":"5e2zgfe3ltc6qbnoqdfshqsph","PN":"T. Chalobah","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":15,"Y":45.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["8.5"]},{"I":141,"V":["61.8"]},{"I":212,"V":["12.84348"]},{"I":213,"V":["2.131046"]}]}}}
[2025-08-17 18:39:32.267] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":53,"TS":"2025-08-17T14:09:31.480","TID":39,"PID":1,"M":8,"S":38,"PLID":427623,"PLUUID":"5nsag404623qznyyizl8yuwkq","PN":"C. Richards","TEAMID":31,"TUUID":"1c8m2ko0wxq1asfkuykurdr0y","O":1,"X":87.9,"Y":51.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":22,"V":["NULL"]},{"I":17,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":327,"V":["2"]},{"I":326,"V":["2"]},{"I":253,"V":["NULL"]}]}}}
[2025-08-17 18:39:33.253] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":78,"TS":"2025-08-17T14:09:33.621","TID":63,"PID":1,"M":8,"S":40,"PLID":215059,"PLUUID":"d9yxninyn4bac8f0ufxsnlqll","PN":"Robert S\u00e1nchez","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":0,"X":1.6,"Y":43.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":173,"V":["NULL"]},{"I":178,"V":["NULL"]},{"I":182,"V":["NULL"]},{"I":56,"V":["Back"]}]}}}
[2025-08-17 18:39:33.885] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":79,"TS":"2025-08-17T14:09:34.181","TID":52,"PID":1,"M":8,"S":41,"PLID":215059,"PLUUID":"d9yxninyn4bac8f0ufxsnlqll","PN":"Robert S\u00e1nchez","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":0,"X":1.6,"Y":43.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[]}}}
[2025-08-17 18:39:37.711] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":80,"TS":"2025-08-17T14:09:35.941","TID":1,"PID":1,"M":8,"S":42,"PLID":215059,"PLUUID":"d9yxninyn4bac8f0ufxsnlqll","PN":"Robert S\u00e1nchez","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":5.2,"Y":40,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":123,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["23.4"]},{"I":141,"V":["17.6"]},{"I":212,"V":["24.4378"]},{"I":213,"V":["5.610234"]},{"I":318,"V":["0.00000132"]}]}}}
