[2025-08-19 00:32:44.800] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-19 00:32:45.449] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-19 00:32:46.097] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"13ylro8dy443m52qxwrxm9zis"}}
[2025-08-19 00:32:46.241] [IN] {"csb":{"rc":0,"msg":"Client subscribed"}}
[2025-08-19 00:32:46.242] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":14,"TS":"2025-08-18T20:02:37.795","TID":5,"PID":1,"M":0,"S":33,"PLID":466525,"PLUUID":"az7owi5t4bclkamjsjuyxzv1l","PN":"A. Stach","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":40.2,"Y":-1.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-19 00:32:46.733] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":15,"TS":"2025-08-18T20:02:45.774","TID":1,"PID":1,"M":0,"S":40,"PLID":226182,"PLUUID":"dwumn5qew7ae53givnx2p892h","PN":"J. Bogle","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":40.2,"Y":-1.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":107,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["34.8"]},{"I":141,"V":["10"]},{"I":212,"V":["9.440403"]},{"I":213,"V":["2.21506"]},{"I":318,"V":["0.0000019"]}]}}}
[2025-08-19 00:32:47.751] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":16,"TS":"2025-08-18T20:02:46.437","TID":1,"PID":1,"M":0,"S":41,"PLID":199598,"PLUUID":"f1ma05bi3t1hfbflylx5d9tyh","PN":"E. Ampadu","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":34.8,"Y":10,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["35.2"]},{"I":141,"V":["5.6"]},{"I":212,"V":["3.021335"]},{"I":213,"V":["4.851852"]},{"I":318,"V":["0.00000404"]}]}}}
[2025-08-19 00:32:47.939] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":17,"TS":"2025-08-18T20:02:47.541","TID":50,"PID":1,"M":0,"S":42,"PLID":226182,"PLUUID":"dwumn5qew7ae53givnx2p892h","PN":"J. Bogle","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":0,"X":35.2,"Y":5.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-19 00:32:49.136] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":17,"TS":"2025-08-18T20:02:48.237","TID":7,"PID":1,"M":0,"S":43,"PLID":215413,"PLUUID":"2bkp1lcaxmvwoanxwo0775cdl","PN":"K. Dewsbury-Hall","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":67.3,"Y":93,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":167,"V":["NULL"]},{"I":56,"V":["Left"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-19 00:32:51.139] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":18,"TS":"2025-08-18T20:02:48.925","TID":5,"PID":1,"M":0,"S":44,"PLID":215413,"PLUUID":"2bkp1lcaxmvwoanxwo0775cdl","PN":"K. Dewsbury-Hall","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":0,"X":67.8,"Y":102,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Left"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-19 00:32:52.401] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":18,"TS":"2025-08-18T20:02:48.157","TID":5,"PID":1,"M":0,"S":43,"PLID":226182,"PLUUID":"dwumn5qew7ae53givnx2p892h","PN":"J. Bogle","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":35.1,"Y":-0.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-19 00:33:04.915] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":19,"TS":"2025-08-18T20:03:03.285","TID":1,"PID":1,"M":0,"S":58,"PLID":226182,"PLUUID":"dwumn5qew7ae53givnx2p892h","PN":"J. Bogle","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":33.7,"Y":-0.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":107,"V":["NULL"]},{"I":56,"V":["Right"]},{"I":140,"V":["56.1"]},{"I":141,"V":["14.7"]},{"I":212,"V":["25.77367"]},{"I":213,"V":["0.4212971"]},{"I":1,"V":["NULL"]},{"I":318,"V":["0.00001187"]}]}}}
[2025-08-19 00:33:05.284] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":19,"TS":"2025-08-18T20:03:04.782","TID":44,"PID":1,"M":0,"S":59,"PLID":106611,"PLUUID":"6og6s61vrg51rfqxk9cipylzp","PN":"M. Keane","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":0,"X":40.5,"Y":75.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
