[2025-08-16 14:35:49.601] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-16 14:35:50.394] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-16 14:35:51.157] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"6ncygvluu6ppschsugz9odnv8"}}
[2025-08-16 14:35:51.419] [IN] {"csb":{"rc":0,"msg":"Client subscribed"}}
[2025-08-16 14:35:51.421] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":30,"TS":"2025-08-16T10:05:52.29","TID":10,"PID":1,"M":2,"S":23,"PLID":173476,"PLUUID":"5u3nf7qbreypvi8rut8n8smhh","PN":"K. Misao","TEAMID":1412,"TUUID":"9s2g5k3dlmfii452t8edaeozh","O":1,"X":12.7,"Y":50.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":94,"V":["NULL"]},{"I":56,"V":["Back"]}]}}}
[2025-08-16 14:35:52.889] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":25,"TS":"2025-08-16T10:05:53.81","TID":39,"PID":1,"M":2,"S":24,"PLID":462359,"PLUUID":"8shr0ghxn6d8uoiiideh3rmne","PN":"S. Nago","TEAMID":433,"TUUID":"ydlnn8jofdkseegh42az3fpt","O":1,"X":79.5,"Y":59.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":22,"V":["NULL"]},{"I":18,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":327,"V":["2"]},{"I":326,"V":["2"]},{"I":252,"V":["NULL"]}]}}}
[2025-08-16 14:35:53.798] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":26,"TS":"2025-08-16T10:05:54.377","TID":5,"PID":1,"M":2,"S":25,"PLID":462359,"PLUUID":"8shr0ghxn6d8uoiiideh3rmne","PN":"S. Nago","TEAMID":433,"TUUID":"ydlnn8jofdkseegh42az3fpt","O":0,"X":101.7,"Y":45.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":346,"V":["NULL"]}]}}}
[2025-08-16 14:35:55.744] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":31,"TS":"2025-08-16T10:05:53.988","TID":5,"PID":1,"M":2,"S":25,"PLID":173476,"PLUUID":"5u3nf7qbreypvi8rut8n8smhh","PN":"K. Misao","TEAMID":1412,"TUUID":"9s2g5k3dlmfii452t8edaeozh","O":1,"X":-0.9,"Y":50.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":346,"V":["NULL"]}]}}}
[2025-08-16 14:35:55.862] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":24,"TS":"2025-08-16T10:05:50.825","TID":15,"PID":1,"M":2,"S":22,"PLID":502378,"PLUUID":"74nsqkyskico0dzgtxjheka5m","PN":"K. Konno","TEAMID":433,"TUUID":"ydlnn8jofdkseegh42az3fpt","O":1,"X":78.4,"Y":42.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":22,"V":["NULL"]},{"I":72,"V":["NULL"]},{"I":18,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":321,"V":["0.0368"]},{"I":327,"V":["2"]},{"I":326,"V":["2"]},{"I":82,"V":["NULL"]}]}}}
[2025-08-16 14:36:01.344] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":24,"TS":"2025-08-16T10:05:50.825","TID":15,"PID":1,"M":2,"S":22,"PLID":502378,"PLUUID":"74nsqkyskico0dzgtxjheka5m","PN":"K. Konno","TEAMID":433,"TUUID":"ydlnn8jofdkseegh42az3fpt","O":1,"X":78.4,"Y":42.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":22,"V":["NULL"]},{"I":72,"V":["NULL"]},{"I":121,"V":["NULL"]},{"I":18,"V":["NULL"]},{"I":78,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":102,"V":["48.9597829932775"]},{"I":103,"V":["19"]},{"I":215,"V":["NULL"]},{"I":321,"V":["0.0368"]},{"I":327,"V":["2"]},{"I":326,"V":["2"]},{"I":458,"V":["NULL"]},{"I":82,"V":["NULL"]},{"I":146,"V":["86.5528846153846"]},{"I":147,"V":["45.125"]},{"I":230,"V":["98.4951923076923"]},{"I":231,"V":["49.0972222222222"]}]}}}
[2025-08-16 14:36:01.618] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":24,"TS":"2025-08-16T10:05:50.825","TID":15,"PID":1,"M":2,"S":22,"PLID":502378,"PLUUID":"74nsqkyskico0dzgtxjheka5m","PN":"K. Konno","TEAMID":433,"TUUID":"ydlnn8jofdkseegh42az3fpt","O":1,"X":78.4,"Y":42.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":233,"V":["30"]},{"I":372,"V":["biv5mzyxwzfu3z97qoaia4zk6"]},{"I":22,"V":["NULL"]},{"I":72,"V":["NULL"]},{"I":121,"V":["NULL"]},{"I":18,"V":["NULL"]},{"I":78,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":102,"V":["48.9597829932775"]},{"I":103,"V":["19"]},{"I":215,"V":["NULL"]},{"I":321,"V":["0.0368"]},{"I":327,"V":["2"]},{"I":326,"V":["2"]},{"I":458,"V":["NULL"]},{"I":82,"V":["NULL"]},{"I":146,"V":["86.5528846153846"]},{"I":147,"V":["45.125"]},{"I":230,"V":["98.4951923076923"]},{"I":231,"V":["49.0972222222222"]}]}}}
[2025-08-16 14:36:02.019] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":30,"TS":"2025-08-16T10:05:50.925","TID":10,"PID":1,"M":2,"S":22,"PLID":173476,"PLUUID":"5u3nf7qbreypvi8rut8n8smhh","PN":"K. Misao","TEAMID":1412,"TUUID":"9s2g5k3dlmfii452t8edaeozh","O":1,"X":13.4,"Y":54.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":94,"V":["NULL"]},{"I":233,"V":["24"]},{"I":372,"V":["8gjvxv340wz4e4cjk1f0jo0yj"]},{"I":56,"V":["Back"]}]}}}
[2025-08-16 14:36:02.810] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":32,"TS":"2025-08-16T10:06:02.983","TID":1,"PID":1,"M":2,"S":34,"PLID":173476,"PLUUID":"5u3nf7qbreypvi8rut8n8smhh","PN":"K. Misao","TEAMID":1412,"TUUID":"9s2g5k3dlmfii452t8edaeozh","O":0,"X":13.2,"Y":34.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":124,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["13.2"]},{"I":141,"V":["32.7"]},{"I":212,"V":["1.088"]},{"I":213,"V":["4.712389"]},{"I":74,"V":["NULL"]}]}}}
[2025-08-16 14:36:12.171] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":25,"TS":"2025-08-16T10:05:53.81","TID":13,"PID":1,"M":2,"S":24,"PLID":462359,"PLUUID":"8shr0ghxn6d8uoiiideh3rmne","PN":"S. Nago","TEAMID":433,"TUUID":"ydlnn8jofdkseegh42az3fpt","O":1,"X":79.5,"Y":59.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":22,"V":["NULL"]},{"I":20,"V":["NULL"]},{"I":18,"V":["NULL"]},{"I":81,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":102,"V":["37.1428571428571"]},{"I":103,"V":["83.3333333333333"]},{"I":108,"V":["NULL"]},{"I":321,"V":["0.038"]},{"I":328,"V":["NULL"]},{"I":327,"V":["2"]},{"I":326,"V":["2"]},{"I":391,"V":["NULL"]},{"I":458,"V":["NULL"]},{"I":230,"V":["98.3653846153846"]},{"I":231,"V":["50.9027777777778"]}]}}}
[2025-08-16 14:36:18.582] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":33,"TS":"2025-08-16T10:06:16.585","TID":1,"PID":1,"M":2,"S":47,"PLID":530015,"PLUUID":"8i7aw5yhze1xiw2d2g5wax91w","PN":"T. Hayakawa","TEAMID":1412,"TUUID":"9s2g5k3dlmfii452t8edaeozh","O":1,"X":5.3,"Y":47.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":124,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["63.6"]},{"I":141,"V":["69.4"]},{"I":212,"V":["62.98434"]},{"I":213,"V":["0.237589"]},{"I":1,"V":["NULL"]},{"I":318,"V":["0.00018488"]},{"I":74,"V":["NULL"]}]}}}
[2025-08-16 14:36:18.784] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":27,"TS":"2025-08-16T10:06:18.984","TID":44,"PID":1,"M":2,"S":50,"PLID":462357,"PLUUID":"3cen673039ickz8g3q4ryqvze","PN":"T. Kamijima","TEAMID":433,"TUUID":"ydlnn8jofdkseegh42az3fpt","O":1,"X":26.4,"Y":23,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-16 14:36:18.981] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":34,"TS":"2025-08-16T10:06:19.291","TID":44,"PID":1,"M":2,"S":50,"PLID":123868,"PLUUID":"eoczejus2tqlxh9u7j8by4ij9","PN":"A. \u010cavri\u0107","TEAMID":1412,"TUUID":"9s2g5k3dlmfii452t8edaeozh","O":1,"X":64.9,"Y":69.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-16 14:36:20.808] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":28,"TS":"2025-08-16T10:06:19.336","TID":1,"PID":1,"M":2,"S":50,"PLID":462357,"PLUUID":"3cen673039ickz8g3q4ryqvze","PN":"T. Kamijima","TEAMID":433,"TUUID":"ydlnn8jofdkseegh42az3fpt","O":1,"X":26.4,"Y":23,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":3,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["55.8"]},{"I":141,"V":["26.5"]},{"I":212,"V":["30.96161"]},{"I":213,"V":["0.07694529"]},{"I":318,"V":["0.00041545"]}]}}}
[2025-08-16 14:36:21.008] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":35,"TS":"2025-08-16T10:06:21.147","TID":44,"PID":1,"M":2,"S":52,"PLID":158213,"PLUUID":"64orrvhh1or23zgu10vvwgted","PN":"G. Shibasaki","TEAMID":1412,"TUUID":"9s2g5k3dlmfii452t8edaeozh","O":1,"X":41.3,"Y":69.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
