[2025-08-17 21:01:28.187] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-17 21:01:28.910] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-17 21:01:29.626] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"74h5os2atpg4gkrdbrss9gefo"}}
[2025-08-17 21:01:29.837] [IN] {"csb":{"rc":0,"msg":"Client subscribed"}}
[2025-08-17 21:01:29.840] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":145,"TS":"2025-08-17T16:31:13.353","TID":86,"PID":1,"M":16,"S":3,"PLID":545272,"PLUUID":"4sjs5ktvkun9g96w6h5a39puc","PN":"K. Danois","TEAMID":138,"TUUID":"9bxav814mkuhueiyivyive82d","O":1,"X":66.4,"Y":45.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[]}}}
[2025-08-17 21:01:45.439] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":158,"TS":"2025-08-17T16:31:44.216","TID":1,"PID":1,"M":16,"S":34,"PLID":107258,"PLUUID":"3hiehiu25aufrc0q9890haqc5","PN":"L. Abergel","TEAMID":694,"TUUID":"70nn27vgkt6l48lvv5e66q7ww","O":1,"X":38.3,"Y":60.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":5,"V":["NULL"]},{"I":152,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["32.1"]},{"I":141,"V":["40.7"]},{"I":212,"V":["14.77186"]},{"I":213,"V":["4.256007"]},{"I":318,"V":["0.00001185"]}]}}}
[2025-08-17 21:01:46.603] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":159,"TS":"2025-08-17T16:31:45.817","TID":1,"PID":1,"M":16,"S":36,"PLID":606371,"PLUUID":"5wsz3usdkj01snq28pzpiwb2s","PN":"A. Avom","TEAMID":694,"TUUID":"70nn27vgkt6l48lvv5e66q7ww","O":1,"X":32.2,"Y":40.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["41.5"]},{"I":141,"V":["4.1"]},{"I":212,"V":["26.35575"]},{"I":213,"V":["5.091944"]},{"I":318,"V":["0.00001493"]}]}}}
[2025-08-17 21:01:51.469] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":160,"TS":"2025-08-17T16:31:46.953","TID":1,"PID":1,"M":16,"S":37,"PLID":476401,"PLUUID":"5emz2pmqmy4ksbmmt3krbtzze","PN":"F. Mendy","TEAMID":694,"TUUID":"70nn27vgkt6l48lvv5e66q7ww","O":1,"X":43.9,"Y":5.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["38.7"]},{"I":141,"V":["21.5"]},{"I":212,"V":["12.17317"]},{"I":213,"V":["2.035913"]},{"I":318,"V":["0.00001613"]}]}}}
[2025-08-17 21:01:57.912] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":161,"TS":"2025-08-17T16:31:51.961","TID":1,"PID":1,"M":16,"S":42,"PLID":606371,"PLUUID":"5wsz3usdkj01snq28pzpiwb2s","PN":"A. Avom","TEAMID":694,"TUUID":"70nn27vgkt6l48lvv5e66q7ww","O":1,"X":45.3,"Y":31.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["38.1"]},{"I":141,"V":["68.1"]},{"I":212,"V":["25.94583"]},{"I":213,"V":["1.866462"]},{"I":318,"V":["0.0000283"]}]}}}
[2025-08-17 21:02:00.182] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":162,"TS":"2025-08-17T16:31:58.329","TID":1,"PID":1,"M":16,"S":48,"PLID":422480,"PLUUID":"996i59930r3kd4xk48x9fsp2h","PN":"M. Talbi","TEAMID":694,"TUUID":"70nn27vgkt6l48lvv5e66q7ww","O":1,"X":57.8,"Y":75.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["65.5"]},{"I":141,"V":["94.8"]},{"I":212,"V":["15.24118"]},{"I":213,"V":["1.011641"]},{"I":318,"V":["0.00022727"]}]}}}
[2025-08-17 21:02:03.345] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":163,"TS":"2025-08-17T16:32:00.601","TID":1,"PID":1,"M":16,"S":50,"PLID":651819,"PLUUID":"5c2zuz7f53hvqn5be1k2nddsk","PN":"A. Kouassi","TEAMID":694,"TUUID":"70nn27vgkt6l48lvv5e66q7ww","O":1,"X":65.5,"Y":94.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["92.2"]},{"I":141,"V":["79.8"]},{"I":212,"V":["29.83289"]},{"I":213,"V":["5.934242"]},{"I":318,"V":["0.00436008"]}]}}}
[2025-08-17 21:02:03.719] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":164,"TS":"2025-08-17T16:32:03.881","TID":1,"PID":1,"M":16,"S":54,"PLID":626970,"PLUUID":"drvxsxvv0g03fw69sf8xvyp6","PN":"M. Bamba","TEAMID":694,"TUUID":"70nn27vgkt6l48lvv5e66q7ww","O":0,"X":93.8,"Y":77.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["93.4"]},{"I":141,"V":["76.7"]},{"I":212,"V":["0.742256"]},{"I":213,"V":["4.110934"]}]}}}
[2025-08-17 21:02:05.521] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":146,"TS":"2025-08-17T16:32:06.26","TID":74,"PID":1,"M":16,"S":56,"PLID":208973,"PLUUID":"a1oi2uvchhnwi4kqw9npdp0q1","PN":"F. Sierralta","TEAMID":138,"TUUID":"9bxav814mkuhueiyivyive82d","O":1,"X":4.3,"Y":24.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-17 21:02:06.128] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":165,"TS":"2025-08-17T16:32:06.357","TID":61,"PID":1,"M":16,"S":56,"PLID":626970,"PLUUID":"drvxsxvv0g03fw69sf8xvyp6","PN":"M. Bamba","TEAMID":694,"TUUID":"70nn27vgkt6l48lvv5e66q7ww","O":1,"X":91.1,"Y":74.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]}]}}}
[2025-08-17 21:02:16.018] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":166,"TS":"2025-08-17T16:32:16.202","TID":85,"PID":1,"M":17,"S":6,"PLID":626970,"PLUUID":"drvxsxvv0g03fw69sf8xvyp6","PN":"M. Bamba","TEAMID":694,"TUUID":"70nn27vgkt6l48lvv5e66q7ww","O":1,"X":91.1,"Y":74.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[]}}}
[2025-08-17 21:02:18.924] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":166,"TS":"2025-08-17T16:32:16.202","TID":43,"PID":1,"M":17,"S":6,"PLID":626970,"PLUUID":"drvxsxvv0g03fw69sf8xvyp6","PN":"M. Bamba","TEAMID":694,"TUUID":"70nn27vgkt6l48lvv5e66q7ww","O":1,"X":91.1,"Y":74.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":144,"V":["85"]}]}}}
[2025-08-17 21:02:27.349] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":147,"TS":"2025-08-17T16:32:07.859","TID":5,"PID":1,"M":16,"S":58,"PLID":208973,"PLUUID":"a1oi2uvchhnwi4kqw9npdp0q1","PN":"F. Sierralta","TEAMID":138,"TUUID":"9bxav814mkuhueiyivyive82d","O":1,"X":-0.9,"Y":20.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":346,"V":["NULL"]}]}}}
