[2025-08-17 18:43:32.400] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-17 18:43:33.120] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-17 18:43:33.837] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"74zpn9q4fwxv9jgn3a7ijslck"}}
[2025-08-17 18:43:34.112] [IN] {"csb":{"rc":0,"msg":"Client subscribed"}}
[2025-08-17 18:43:34.113] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":151,"TS":"2025-08-17T14:13:25.115","TID":1,"PID":1,"M":12,"S":55,"PLID":538078,"PLUUID":"a5jrqzijth7e3uxl4phi83sdm","PN":"N. Ngoy","TEAMID":429,"TUUID":"be2k34rut1lz79jxenabttqlc","O":1,"X":24.4,"Y":29.7,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["26.6"]},{"I":141,"V":["63.4"]},{"I":212,"V":["23.03213"]},{"I":213,"V":["1.470333"]},{"I":318,"V":["0.00000462"]}]}}}
[2025-08-17 18:43:34.687] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":152,"TS":"2025-08-17T14:13:26.890","TID":1,"PID":1,"M":12,"S":57,"PLID":512253,"PLUUID":"avk0vktquq3oum9w6dyodlz6y","PN":"Alexsandro Ribeiro","TEAMID":429,"TUUID":"be2k34rut1lz79jxenabttqlc","O":1,"X":27.2,"Y":63.5,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["44.5"]},{"I":141,"V":["84.6"]},{"I":212,"V":["23.14805"]},{"I":213,"V":["0.6685339"]},{"I":318,"V":["0.00002557"]}]}}}
[2025-08-17 18:43:36.443] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":153,"TS":"2025-08-17T14:13:35.35","TID":1,"PID":1,"M":13,"S":5,"PLID":484842,"PLUUID":"9t0jh9kfw1225c8hoj0pu8cbu","PN":"H. Haraldsson","TEAMID":429,"TUUID":"be2k34rut1lz79jxenabttqlc","O":1,"X":43.2,"Y":69.8,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["40.8"]},{"I":141,"V":["56.6"]},{"I":212,"V":["9.323034"]},{"I":213,"V":["4.438686"]},{"I":318,"V":["0.00003127"]}]}}}
[2025-08-17 18:43:39.471] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":154,"TS":"2025-08-17T14:13:36.843","TID":1,"PID":1,"M":13,"S":7,"PLID":586855,"PLUUID":"9ov7tj31hixo7xp0tfffuhpn8","PN":"N. Mukau","TEAMID":429,"TUUID":"be2k34rut1lz79jxenabttqlc","O":1,"X":40.8,"Y":56.6,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["29.7"]},{"I":141,"V":["62.6"]},{"I":212,"V":["12.3485"]},{"I":213,"V":["2.804861"]},{"I":318,"V":["0.0000082"]}]}}}
[2025-08-17 18:43:44.383] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":155,"TS":"2025-08-17T14:13:39.883","TID":1,"PID":1,"M":13,"S":10,"PLID":512253,"PLUUID":"avk0vktquq3oum9w6dyodlz6y","PN":"Alexsandro Ribeiro","TEAMID":429,"TUUID":"be2k34rut1lz79jxenabttqlc","O":1,"X":30,"Y":60.2,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["30.2"]},{"I":141,"V":["32.9"]},{"I":212,"V":["18.56519"]},{"I":213,"V":["4.723701"]},{"I":318,"V":["0.0000072"]}]}}}
[2025-08-17 18:43:45.929] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":156,"TS":"2025-08-17T14:13:44.842","TID":1,"PID":1,"M":13,"S":15,"PLID":538078,"PLUUID":"a5jrqzijth7e3uxl4phi83sdm","PN":"N. Ngoy","TEAMID":429,"TUUID":"be2k34rut1lz79jxenabttqlc","O":1,"X":32.5,"Y":32.9,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["32.9"]},{"I":141,"V":["59.3"]},{"I":212,"V":["17.95691"]},{"I":213,"V":["1.547405"]},{"I":318,"V":["0.00001104"]}]}}}
[2025-08-17 18:43:47.747] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":157,"TS":"2025-08-17T14:13:46.427","TID":1,"PID":1,"M":13,"S":17,"PLID":512253,"PLUUID":"avk0vktquq3oum9w6dyodlz6y","PN":"Alexsandro Ribeiro","TEAMID":429,"TUUID":"be2k34rut1lz79jxenabttqlc","O":1,"X":32.9,"Y":59.3,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["43.9"]},{"I":141,"V":["95.1"]},{"I":212,"V":["26.945"]},{"I":213,"V":["1.127797"]},{"I":318,"V":["0.00002028"]}]}}}
[2025-08-17 18:43:52.607] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":158,"TS":"2025-08-17T14:13:48.90","TID":1,"PID":1,"M":13,"S":18,"PLID":244560,"PLUUID":"67qku7vyvbw76086eu05nowd1","PN":"R. Perraud","TEAMID":429,"TUUID":"be2k34rut1lz79jxenabttqlc","O":1,"X":46.4,"Y":94.5,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["57.4"]},{"I":141,"V":["94.6"]},{"I":212,"V":["11.5502"]},{"I":213,"V":["0.005887378"]},{"I":318,"V":["0.00006977"]}]}}}
[2025-08-17 18:43:53.620] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":159,"TS":"2025-08-17T14:13:53.51","TID":1,"PID":1,"M":13,"S":23,"PLID":484842,"PLUUID":"9t0jh9kfw1225c8hoj0pu8cbu","PN":"H. Haraldsson","TEAMID":429,"TUUID":"be2k34rut1lz79jxenabttqlc","O":0,"X":45.9,"Y":85,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["67.9"]},{"I":141,"V":["79.6"]},{"I":212,"V":["23.39003"]},{"I":213,"V":["6.125543"]}]}}}
