[2025-08-23 00:14:47.403] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-23 00:14:48.069] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-23 00:14:48.721] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"cs0hy642fmy1in51iqx5z2syc"}}
[2025-08-23 00:14:48.866] [IN] {"csb":{"rc":0,"msg":"Client subscribed"}}
[2025-08-23 00:14:48.867] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":79,"TS":"2025-08-22T19:44:46.88","TID":61,"PID":1,"M":13,"S":1,"PLID":692871,"PLUUID":"8e6qzf8dp3c9lch7tu5r03qqc","PN":"Y. Diomande","TEAMID":6339,"TUUID":"9gefq4dz9b2hl8rqrxwrlrzmp","O":1,"X":88.6,"Y":63,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Center"]}]}}}
[2025-08-23 00:15:09.322] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":165,"TS":"2025-08-22T19:45:09.97","TID":49,"PID":1,"M":13,"S":24,"PLID":164454,"PLUUID":"5ec2ede9uwbft3wby33mwowyd","PN":"J. Tah","TEAMID":156,"TUUID":"apoawtpvac4zqlancmvw4nk4o","O":1,"X":42.9,"Y":47.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[]}}}
[2025-08-23 00:15:10.506] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":80,"TS":"2025-08-22T19:45:09.575","TID":1,"PID":1,"M":13,"S":24,"PLID":46506,"PLUUID":"3tb27261f8mpzpq3prpv8ng0l","PN":"P. Gul\u00e1csi","TEAMID":6339,"TUUID":"9gefq4dz9b2hl8rqrxwrlrzmp","O":0,"X":7.8,"Y":68.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":5,"V":["NULL"]},{"I":157,"V":["NULL"]},{"I":241,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["64.5"]},{"I":141,"V":["56.1"]},{"I":212,"V":["60.11965"]},{"I":213,"V":["6.14361"]},{"I":1,"V":["NULL"]}]}}}
[2025-08-23 00:15:13.134] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":166,"TS":"2025-08-22T19:45:10.280","TID":1,"PID":1,"M":13,"S":25,"PLID":164454,"PLUUID":"5ec2ede9uwbft3wby33mwowyd","PN":"J. Tah","TEAMID":156,"TUUID":"apoawtpvac4zqlancmvw4nk4o","O":1,"X":42.9,"Y":47.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["55.4"]},{"I":141,"V":["53.4"]},{"I":212,"V":["13.72449"]},{"I":213,"V":["0.2966561"]},{"I":318,"V":["0.00025464"]}]}}}
[2025-08-23 00:15:14.930] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":167,"TS":"2025-08-22T19:45:12.777","TID":1,"PID":1,"M":13,"S":27,"PLID":119090,"PLUUID":"4w4ldzomkj7fhrc51iimz8no5","PN":"L. Goretzka","TEAMID":156,"TUUID":"apoawtpvac4zqlancmvw4nk4o","O":1,"X":53.6,"Y":56.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["46.7"]},{"I":141,"V":["49.1"]},{"I":212,"V":["8.89934"]},{"I":213,"V":["3.761202"]},{"I":318,"V":["0.00010059"]}]}}}
[2025-08-23 00:15:17.384] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":168,"TS":"2025-08-22T19:45:14.634","TID":1,"PID":1,"M":13,"S":29,"PLID":165687,"PLUUID":"97nv3y9z2ajz6b4ynoo0jn3kl","PN":"J. Kimmich","TEAMID":156,"TUUID":"apoawtpvac4zqlancmvw4nk4o","O":1,"X":51.3,"Y":47.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["48.7"]},{"I":141,"V":["27.2"]},{"I":212,"V":["14.07137"]},{"I":213,"V":["4.51714"]},{"I":318,"V":["0.00010077"]}]}}}
[2025-08-23 00:15:21.130] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":63,"TS":"2025-08-22T19:42:05.345","TID":10,"PID":1,"M":10,"S":20,"PLID":46506,"PLUUID":"3tb27261f8mpzpq3prpv8ng0l","PN":"P. Gul\u00e1csi","TEAMID":6339,"TUUID":"9gefq4dz9b2hl8rqrxwrlrzmp","O":1,"X":2.8,"Y":55.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":142,"V":["NULL"]},{"I":174,"V":["NULL"]},{"I":179,"V":["NULL"]},{"I":182,"V":["NULL"]},{"I":56,"V":["Back"]}]}}}
[2025-08-23 00:15:24.142] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":169,"TS":"2025-08-22T19:45:17.97","TID":1,"PID":1,"M":13,"S":32,"PLID":199661,"PLUUID":"x4qyxhfr2vi007sazoqe5vit","PN":"D. Upamecano","TEAMID":156,"TUUID":"apoawtpvac4zqlancmvw4nk4o","O":0,"X":54.5,"Y":26.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":155,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["101.0"]},{"I":141,"V":["74.4"]},{"I":212,"V":["58.69255"]},{"I":213,"V":["0.5883145"]},{"I":1,"V":["NULL"]}]}}}
[2025-08-23 00:15:24.206] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":81,"TS":"2025-08-22T19:45:23.927","TID":56,"PID":1,"M":13,"S":38,"PLID":428786,"PLUUID":"23l48u4w5nj4036whjm3s49gp","PN":"R. Baku","TEAMID":6339,"TUUID":"9gefq4dz9b2hl8rqrxwrlrzmp","O":1,"X":1.5,"Y":25.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]}]}}}
[2025-08-23 00:15:24.948] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":170,"TS":"2025-08-22T19:45:23.799","TID":5,"PID":1,"M":13,"S":38,"PLID":199661,"PLUUID":"x4qyxhfr2vi007sazoqe5vit","PN":"D. Upamecano","TEAMID":156,"TUUID":"apoawtpvac4zqlancmvw4nk4o","O":0,"X":101,"Y":74.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":346,"V":["NULL"]}]}}}
