[2025-08-23 22:02:15] Genoa vs Lecce - C Values: {"T1_C": 1.752, "T2_C": 3.4, "T3_C": 5.25, "T4_C": 1.18, "T5_C": 1.336, "T6_C": 2.08, "T7_C": 2.408, "T8_C": 1.57, "T9_C": 1.875, "T10_C": 1.925, "T11_C": 2.145, "T12_C": 1.704, "T13_C": 1.9, "T14_C": 1.9, "T180_C": 2.22, "T181_C": 1.66}
[2025-08-23 22:04:18] Genoa vs Lecce - C Values: {"T1_C": 1.76, "T2_C": 3.46, "T3_C": 5.05, "T4_C": 1.185, "T5_C": 1.325, "T6_C": 2.075, "T7_C": 2.46, "T8_C": 1.545, "T9_C": 1.875, "T10_C": 1.925, "T11_C": 2.145, "T12_C": 1.704, "T13_C": 1.845, "T14_C": 1.955, "T180_C": 2.22, "T181_C": 1.66}
[2025-08-23 22:04:44] Genoa vs Lecce - C Values: {"T1_C": 1.76, "T2_C": 3.46, "T3_C": 5.05, "T4_C": 1.185, "T5_C": 1.325, "T6_C": 2.075, "T7_C": 2.46, "T8_C": 1.545, "T9_C": 1.875, "T10_C": 1.925, "T11_C": 2.245, "T12_C": 1.648, "T13_C": 1.845, "T14_C": 1.955, "T180_C": 2.22, "T181_C": 1.66}
[2025-08-23 22:04:50] Genoa vs Lecce - C Values: {"T1_C": 1.77, "T2_C": 3.42, "T3_C": 5.05, "T4_C": 1.19, "T5_C": 1.33, "T6_C": 2.06, "T7_C": 2.46, "T8_C": 1.545, "T9_C": 1.875, "T10_C": 1.925, "T11_C": 2.245, "T12_C": 1.648, "T13_C": 1.845, "T14_C": 1.955, "T180_C": 2.22, "T181_C": 1.66}
[2025-08-23 22:05:08] Genoa vs Lecce - C Values: {"T1_C": 1.792, "T2_C": 3.38, "T3_C": 4.98, "T4_C": 1.192, "T5_C": 1.34, "T6_C": 2.03, "T7_C": 2.46, "T8_C": 1.545, "T9_C": 1.875, "T10_C": 1.925, "T11_C": 2.245, "T12_C": 1.648, "T13_C": 1.845, "T14_C": 1.955, "T180_C": 2.22, "T181_C": 1.66}
[2025-08-23 22:05:27] Genoa vs Lecce - C Values: {"T1_C": 1.792, "T2_C": 3.38, "T3_C": 4.98, "T4_C": 1.192, "T5_C": 1.34, "T6_C": 2.03, "T7_C": 2.46, "T8_C": 1.545, "T9_C": 1.9, "T10_C": 1.9, "T11_C": 2.245, "T12_C": 1.648, "T13_C": 1.845, "T14_C": 1.955, "T180_C": 2.22, "T181_C": 1.66}
[2025-08-23 22:05:48] Genoa vs Lecce - C Values: {"T1_C": 1.792, "T2_C": 3.38, "T3_C": 4.98, "T4_C": 1.192, "T5_C": 1.34, "T6_C": 2.03, "T7_C": 2.53, "T8_C": 1.52, "T9_C": 1.9, "T10_C": 1.9, "T11_C": 2.245, "T12_C": 1.648, "T13_C": 1.845, "T14_C": 1.955, "T180_C": 2.22, "T181_C": 1.66}
[2025-08-23 22:06:43] Genoa vs Lecce - C Values: {"T1_C": 1.835, "T2_C": 3.3, "T3_C": 4.84, "T4_C": 1.2, "T5_C": 1.35, "T6_C": 1.98, "T7_C": 2.625, "T8_C": 1.49, "T9_C": 1.925, "T10_C": 1.875, "T11_C": 2.31, "T12_C": 1.615, "T13_C": 1.845, "T14_C": 1.955, "T180_C": 2.22, "T181_C": 1.66}
[2025-08-23 22:07:34] Genoa vs Lecce - C Values: {"T1_C": 1.85, "T2_C": 3.28, "T3_C": 4.8, "T4_C": 1.205, "T5_C": 1.352, "T6_C": 1.965, "T7_C": 2.704, "T8_C": 1.464, "T9_C": 1.925, "T10_C": 1.875, "T11_C": 2.31, "T12_C": 1.615, "T13_C": 1.77, "T14_C": 2.05, "T180_C": 2.22, "T181_C": 1.66}
[2025-08-23 22:07:52] Genoa vs Lecce - C Values: {"T1_C": 1.85, "T2_C": 3.28, "T3_C": 4.8, "T4_C": 1.205, "T5_C": 1.352, "T6_C": 1.965, "T7_C": 2.704, "T8_C": 1.464, "T9_C": 1.95, "T10_C": 1.85, "T11_C": 2.31, "T12_C": 1.615, "T13_C": 1.845, "T14_C": 1.955, "T180_C": 2.22, "T181_C": 1.66}
[2025-08-23 22:08:04] Genoa vs Lecce - C Values: {"T1_C": 1.87, "T2_C": 3.32, "T3_C": 4.58, "T4_C": 1.216, "T5_C": 1.35, "T6_C": 1.94, "T7_C": 2.704, "T8_C": 1.464, "T9_C": 1.95, "T10_C": 1.85, "T11_C": 2.31, "T12_C": 1.615, "T13_C": 1.77, "T14_C": 2.05, "T180_C": 2.22, "T181_C": 1.66}
