[2025-08-23 21:12:30] Marseille vs Paris - C Values: {"T1_C": 1.215, "T2_C": 6, "T3_C": 15, "T4_C": 1.035, "T5_C": 1.145, "T6_C": 4.3, "T7_C": 1.88, "T8_C": 1.92, "T9_C": 1.64, "T10_C": 2.256, "T11_C": 1.67, "T12_C": 2.195, "T13_C": 1.81, "T14_C": 2}
[2025-08-23 21:13:01] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 6.45, "T3_C": 17, "T4_C": 1.03, "T5_C": 1.135, "T6_C": 4.62, "T7_C": 1.88, "T8_C": 1.92, "T9_C": 1.7, "T10_C": 2.152, "T11_C": 1.67, "T12_C": 2.195, "T13_C": 1.864, "T14_C": 1.936}
[2025-08-23 21:14:03] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 6.45, "T3_C": 17, "T4_C": 1.03, "T5_C": 1.135, "T6_C": 4.62, "T7_C": 1.9, "T8_C": 1.896, "T9_C": 1.7, "T10_C": 2.152, "T11_C": 1.765, "T12_C": 2.056, "T13_C": 1.864, "T14_C": 1.936}
[2025-08-23 21:15:04] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 6.45, "T3_C": 17, "T4_C": 1.03, "T5_C": 1.135, "T6_C": 4.62, "T7_C": 1.9, "T8_C": 1.896, "T9_C": 1.77, "T10_C": 2.05, "T11_C": 1.808, "T12_C": 2.005, "T13_C": 1.95, "T14_C": 1.85}
[2025-08-23 21:15:35] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 6.45, "T3_C": 17, "T4_C": 1.03, "T5_C": 1.135, "T6_C": 4.62, "T7_C": 1.93, "T8_C": 1.87, "T9_C": 1.77, "T10_C": 2.05, "T11_C": 1.825, "T12_C": 1.984, "T13_C": 1.95, "T14_C": 1.85}
[2025-08-23 21:16:06] Marseille vs Paris - C Values: {"T1_C": 1.215, "T2_C": 6, "T3_C": 15, "T4_C": 1.035, "T5_C": 1.145, "T6_C": 4.3, "T7_C": 1.955, "T8_C": 1.848, "T9_C": 1.77, "T10_C": 2.05, "T11_C": 1.725, "T12_C": 2.112, "T13_C": 1.95, "T14_C": 1.85}
[2025-08-23 21:16:37] Marseille vs Paris - C Values: {"T1_C": 1.215, "T2_C": 6, "T3_C": 15, "T4_C": 1.035, "T5_C": 1.145, "T6_C": 4.3, "T7_C": 1.955, "T8_C": 1.848, "T9_C": 1.77, "T10_C": 2.05, "T11_C": 1.79, "T12_C": 2.02, "T13_C": 1.95, "T14_C": 1.85}
[2025-08-23 21:17:07] Marseille vs Paris - C Values: {"T1_C": 1.215, "T2_C": 6, "T3_C": 15, "T4_C": 1.035, "T5_C": 1.145, "T6_C": 4.3, "T7_C": 1.955, "T8_C": 1.848, "T9_C": 1.85, "T10_C": 1.95, "T11_C": 1.79, "T12_C": 2.02, "T13_C": 2.16, "T14_C": 1.696}
[2025-08-23 21:17:39] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 6.45, "T3_C": 17, "T4_C": 1.03, "T5_C": 1.135, "T6_C": 4.62, "T7_C": 1.955, "T8_C": 1.848, "T9_C": 1.94, "T10_C": 1.86, "T11_C": 1.792, "T12_C": 2.02, "T13_C": 2.16, "T14_C": 1.696}
[2025-08-23 21:18:41] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 6.25, "T3_C": 18, "T4_C": 1.025, "T5_C": 1.14, "T6_C": 4.62, "T7_C": 1.955, "T8_C": 1.848, "T9_C": 1.94, "T10_C": 1.86, "T11_C": 1.792, "T12_C": 2.02, "T13_C": 2.145, "T14_C": 1.704}
[2025-08-23 21:20:14] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 6.45, "T3_C": 17, "T4_C": 1.03, "T5_C": 1.135, "T6_C": 4.62, "T7_C": 1.98, "T8_C": 1.825, "T9_C": 1.85, "T10_C": 1.95, "T11_C": 2.02, "T12_C": 1.792, "T13_C": 2.096, "T14_C": 1.74}
