[2025-08-23 21:18:41] Palma vs Vigo - C Values: {"T1_C": 9.7, "T2_C": 4.06, "T3_C": 1.42, "T4_C": 2.875, "T5_C": 1.26, "T6_C": 1.075, "T7_C": 1.785, "T8_C": 2.025, "T9_C": 2.304, "T10_C": 1.616, "T11_C": 1.845, "T12_C": 1.96, "T13_C": 1.864, "T14_C": 1.936, "T180_C": 1.845, "T181_C": 1.96}
[2025-08-23 21:19:13] Palma vs Vigo - C Values: {"T1_C": 10, "T2_C": 4, "T3_C": 1.41, "T4_C": 2.905, "T5_C": 1.264, "T6_C": 1.064, "T7_C": 1.785, "T8_C": 2.025, "T9_C": 1.63, "T10_C": 2.28, "T11_C": 1.92, "T12_C": 1.88, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 1.92, "T181_C": 1.88}
[2025-08-23 21:19:44] Palma vs Vigo - C Values: {"T1_C": 9.7, "T2_C": 4.06, "T3_C": 1.42, "T4_C": 2.875, "T5_C": 1.26, "T6_C": 1.075, "T7_C": 1.785, "T8_C": 2.025, "T9_C": 1.63, "T10_C": 2.28, "T11_C": 1.92, "T12_C": 1.88, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 1.92, "T181_C": 1.88}
[2025-08-23 21:20:14] Palma vs Vigo - C Values: {"T1_C": 10, "T2_C": 4, "T3_C": 1.41, "T4_C": 2.905, "T5_C": 1.264, "T6_C": 1.064, "T7_C": 1.785, "T8_C": 2.025, "T9_C": 1.656, "T10_C": 2.23, "T11_C": 1.92, "T12_C": 1.88, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 1.92, "T181_C": 1.88}
[2025-08-23 21:22:10] Palma vs Vigo - C Values: {"T1_C": 10, "T2_C": 4, "T3_C": 1.41, "T4_C": 2.905, "T5_C": 1.264, "T6_C": 1.064, "T7_C": 1.785, "T8_C": 2.025, "T9_C": 1.656, "T10_C": 2.23, "T11_C": 1.92, "T12_C": 1.88, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 1.92, "T181_C": 1.88}
[2025-08-23 21:22:41] Palma vs Vigo - C Values: {"T1_C": 11, "T2_C": 4.2, "T3_C": 1.38, "T4_C": 3.056, "T5_C": 1.245, "T6_C": 1.06, "T7_C": 1.808, "T8_C": 2, "T9_C": 1.656, "T10_C": 2.23, "T11_C": 1.92, "T12_C": 1.88, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 1.92, "T181_C": 1.88}
[2025-08-23 21:22:59] Palma vs Vigo - C Values: {"T1_C": 11, "T2_C": 4.2, "T3_C": 1.38, "T4_C": 3.056, "T5_C": 1.245, "T6_C": 1.06, "T7_C": 1.808, "T8_C": 2, "T9_C": 1.656, "T10_C": 2.23, "T11_C": 1.92, "T12_C": 1.88, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 1.92, "T181_C": 1.88}
[2025-08-23 21:23:09] Palma vs Vigo - C Values: {"T1_C": 10, "T2_C": 4, "T3_C": 1.41, "T4_C": 2.905, "T5_C": 1.264, "T6_C": 1.064, "T7_C": 1.785, "T8_C": 2.025, "T9_C": 1.656, "T10_C": 2.23, "T11_C": 1.92, "T12_C": 1.88, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 1.92, "T181_C": 1.88}
[2025-08-23 21:23:46] Palma vs Vigo - C Values: {"T1_C": 11, "T2_C": 4.2, "T3_C": 1.38, "T4_C": 3.056, "T5_C": 1.245, "T6_C": 1.06, "T7_C": 1.808, "T8_C": 2, "T9_C": 1.656, "T10_C": 2.23, "T11_C": 1.92, "T12_C": 1.88, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 1.92, "T181_C": 1.88}
[2025-08-23 21:24:26] Palma vs Vigo - C Values: {"T1_C": 11, "T2_C": 4.2, "T3_C": 1.38, "T4_C": 3.056, "T5_C": 1.245, "T6_C": 1.06, "T7_C": 1.808, "T8_C": 2, "T9_C": 1.656, "T10_C": 2.23, "T11_C": 1.92, "T12_C": 1.88, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 1.92, "T181_C": 1.88}
[2025-08-23 21:24:42] Palma vs Vigo - C Values: {"T1_C": 10, "T2_C": 4, "T3_C": 1.41, "T4_C": 2.905, "T5_C": 1.264, "T6_C": 1.064, "T7_C": 1.785, "T8_C": 2.025, "T9_C": 1.656, "T10_C": 2.23, "T11_C": 1.92, "T12_C": 1.88, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 1.92, "T181_C": 1.88}
[2025-08-23 21:24:46] Palma vs Vigo - C Values: {"T1_C": 10, "T2_C": 4, "T3_C": 1.41, "T4_C": 2.905, "T5_C": 1.264, "T6_C": 1.064, "T7_C": 1.785, "T8_C": 2.025, "T9_C": 1.656, "T10_C": 2.23, "T11_C": 1.92, "T12_C": 1.88, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 1.92, "T181_C": 1.88}
[2025-08-23 21:26:48] Palma vs Vigo - C Values: {"T1_C": 10, "T2_C": 4, "T3_C": 1.41, "T4_C": 2.905, "T5_C": 1.264, "T6_C": 1.064, "T7_C": 1.785, "T8_C": 2.025, "T9_C": 1.656, "T10_C": 2.23, "T11_C": 1.885, "T12_C": 1.915, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 1.885, "T181_C": 1.915}
[2025-08-23 21:28:20] Palma vs Vigo - C Values: {"T1_C": 10, "T2_C": 4, "T3_C": 1.41, "T4_C": 2.905, "T5_C": 1.264, "T6_C": 1.064, "T7_C": 1.785, "T8_C": 2.025, "T9_C": 1.656, "T10_C": 2.23, "T11_C": 1.92, "T12_C": 1.88, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 1.92, "T181_C": 1.88}
[2025-08-23 21:28:51] Palma vs Vigo - C Values: {"T1_C": 10, "T2_C": 4, "T3_C": 1.41, "T4_C": 2.905, "T5_C": 1.264, "T6_C": 1.064, "T7_C": 1.785, "T8_C": 2.025, "T9_C": 1.656, "T10_C": 2.23, "T11_C": 1.885, "T12_C": 1.915, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 1.885, "T181_C": 1.915}
[2025-08-23 21:29:33] Palma vs Vigo - C Values: {"T1_C": 11, "T2_C": 4.2, "T3_C": 1.38, "T4_C": 3.056, "T5_C": 1.245, "T6_C": 1.06, "T7_C": 1.808, "T8_C": 2, "T9_C": 1.656, "T10_C": 2.23, "T11_C": 1.885, "T12_C": 1.915, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 1.885, "T181_C": 1.915}
