[2025-08-23 22:02:15] Sassuolo vs Napoli - C Values: {"T1_C": 5.75, "T2_C": 3.74, "T3_C": 1.63, "T4_C": 2.29, "T5_C": 1.29, "T6_C": 1.155, "T7_C": 1.752, "T8_C": 2.07, "T9_C": 2.07, "T10_C": 1.752, "T11_C": 1.648, "T12_C": 2.245, "T13_C": 1.765, "T14_C": 2.06, "T180_C": 1.904, "T181_C": 1.896}
[2025-08-23 22:03:01] Sassuolo vs Napoli - C Values: {"T1_C": 5.85, "T2_C": 3.78, "T3_C": 1.616, "T4_C": 2.32, "T5_C": 1.285, "T6_C": 1.152, "T7_C": 1.752, "T8_C": 2.07, "T9_C": 2.07, "T10_C": 1.752, "T11_C": 1.648, "T12_C": 2.245, "T13_C": 1.765, "T14_C": 2.06, "T180_C": 1.904, "T181_C": 1.896}
[2025-08-23 22:03:13] Sassuolo vs Napoli - C Values: {"T1_C": 5.85, "T2_C": 3.78, "T3_C": 1.616, "T4_C": 2.32, "T5_C": 1.285, "T6_C": 1.152, "T7_C": 1.752, "T8_C": 2.07, "T9_C": 2.07, "T10_C": 1.752, "T11_C": 1.704, "T12_C": 2.145, "T13_C": 1.765, "T14_C": 2.06, "T180_C": 1.904, "T181_C": 1.896}
[2025-08-23 22:03:23] Sassuolo vs Napoli - C Values: {"T1_C": 5.85, "T2_C": 3.78, "T3_C": 1.616, "T4_C": 2.32, "T5_C": 1.285, "T6_C": 1.152, "T7_C": 1.752, "T8_C": 2.07, "T9_C": 1.975, "T10_C": 1.83, "T11_C": 1.67, "T12_C": 2.2, "T13_C": 1.765, "T14_C": 2.06, "T180_C": 1.904, "T181_C": 1.896}
[2025-08-23 22:04:44] Sassuolo vs Napoli - C Values: {"T1_C": 5.75, "T2_C": 3.72, "T3_C": 1.635, "T4_C": 2.275, "T5_C": 1.295, "T6_C": 1.155, "T7_C": 1.725, "T8_C": 2.115, "T9_C": 1.975, "T10_C": 1.83, "T11_C": 1.616, "T12_C": 2.3, "T13_C": 1.765, "T14_C": 2.06, "T180_C": 1.904, "T181_C": 1.896}
[2025-08-23 22:05:08] Sassuolo vs Napoli - C Values: {"T1_C": 5.75, "T2_C": 3.72, "T3_C": 1.635, "T4_C": 2.275, "T5_C": 1.295, "T6_C": 1.155, "T7_C": 1.725, "T8_C": 2.115, "T9_C": 2.07, "T10_C": 1.752, "T11_C": 1.648, "T12_C": 2.245, "T13_C": 1.765, "T14_C": 2.06, "T180_C": 1.904, "T181_C": 1.896}
[2025-08-23 22:05:27] Sassuolo vs Napoli - C Values: {"T1_C": 5.8, "T2_C": 3.62, "T3_C": 1.65, "T4_C": 2.245, "T5_C": 1.304, "T6_C": 1.155, "T7_C": 1.725, "T8_C": 2.115, "T9_C": 2.184, "T10_C": 1.68, "T11_C": 1.704, "T12_C": 2.145, "T13_C": 1.81, "T14_C": 2, "T180_C": 1.955, "T181_C": 1.845}
[2025-08-23 22:07:15] Sassuolo vs Napoli - C Values: {"T1_C": 5.8, "T2_C": 3.62, "T3_C": 1.65, "T4_C": 2.245, "T5_C": 1.304, "T6_C": 1.155, "T7_C": 1.696, "T8_C": 2.16, "T9_C": 2.184, "T10_C": 1.68, "T11_C": 1.704, "T12_C": 2.145, "T13_C": 1.81, "T14_C": 2, "T180_C": 1.955, "T181_C": 1.845}
[2025-08-23 22:08:10] Sassuolo vs Napoli - C Values: {"T1_C": 5.8, "T2_C": 3.62, "T3_C": 1.65, "T4_C": 2.245, "T5_C": 1.304, "T6_C": 1.155, "T7_C": 1.696, "T8_C": 2.16, "T9_C": 2.184, "T10_C": 1.68, "T11_C": 1.77, "T12_C": 2.05, "T13_C": 1.81, "T14_C": 2, "T180_C": 2.015, "T181_C": 1.795}
[2025-08-23 22:08:28] Sassuolo vs Napoli - C Values: {"T1_C": 5.8, "T2_C": 3.62, "T3_C": 1.65, "T4_C": 2.245, "T5_C": 1.304, "T6_C": 1.155, "T7_C": 1.696, "T8_C": 2.16, "T9_C": 2.08, "T10_C": 1.75, "T11_C": 1.735, "T12_C": 2.1, "T13_C": 1.81, "T14_C": 2, "T180_C": 2.015, "T181_C": 1.795}
[2025-08-23 22:08:47] Sassuolo vs Napoli - C Values: {"T1_C": 5.8, "T2_C": 3.62, "T3_C": 1.65, "T4_C": 2.245, "T5_C": 1.304, "T6_C": 1.155, "T7_C": 1.725, "T8_C": 2.115, "T9_C": 2.175, "T10_C": 1.685, "T11_C": 1.735, "T12_C": 2.1, "T13_C": 1.81, "T14_C": 2, "T180_C": 2.015, "T181_C": 1.795}
[2025-08-23 22:09:05] Sassuolo vs Napoli - C Values: {"T1_C": 5.8, "T2_C": 3.62, "T3_C": 1.65, "T4_C": 2.245, "T5_C": 1.304, "T6_C": 1.155, "T7_C": 1.696, "T8_C": 2.16, "T9_C": 2.175, "T10_C": 1.685, "T11_C": 1.735, "T12_C": 2.1, "T13_C": 1.81, "T14_C": 2, "T180_C": 2.015, "T181_C": 1.795}
[2025-08-23 22:09:31] Sassuolo vs Napoli - C Values: {"T1_C": 5.8, "T2_C": 3.62, "T3_C": 1.65, "T4_C": 2.245, "T5_C": 1.304, "T6_C": 1.155, "T7_C": 1.696, "T8_C": 2.16, "T9_C": 2.175, "T10_C": 1.685, "T11_C": 1.735, "T12_C": 2.1, "T13_C": 1.864, "T14_C": 1.936, "T180_C": 2.015, "T181_C": 1.795}
[2025-08-23 22:09:48] Sassuolo vs Napoli - C Values: {"T1_C": 5.85, "T2_C": 3.54, "T3_C": 1.664, "T4_C": 2.225, "T5_C": 1.315, "T6_C": 1.152, "T7_C": 1.664, "T8_C": 2.21, "T9_C": 2.175, "T10_C": 1.685, "T11_C": 1.735, "T12_C": 2.1, "T13_C": 1.864, "T14_C": 1.936, "T180_C": 2.015, "T181_C": 1.795}
[2025-08-23 22:10:30] Sassuolo vs Napoli - C Values: {"T1_C": 5.85, "T2_C": 3.54, "T3_C": 1.664, "T4_C": 2.225, "T5_C": 1.315, "T6_C": 1.152, "T7_C": 1.664, "T8_C": 2.21, "T9_C": 2.13, "T10_C": 1.712, "T11_C": 1.735, "T12_C": 2.1, "T13_C": 1.864, "T14_C": 1.936, "T180_C": 2.064, "T181_C": 1.76}
[2025-08-23 22:11:38] Sassuolo vs Napoli - C Values: {"T1_C": 5.85, "T2_C": 3.54, "T3_C": 1.664, "T4_C": 2.225, "T5_C": 1.315, "T6_C": 1.152, "T7_C": 1.64, "T8_C": 2.26, "T9_C": 1.7, "T10_C": 2.152, "T11_C": 1.735, "T12_C": 2.1, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 2.064, "T181_C": 1.76}
