[2025-08-23 22:03:54.108] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-23 22:03:54.770] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-23 22:03:55.430] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"14qo3uypv7lmce0ewcvxe89w4"}}
[2025-08-23 22:03:55.585] [IN] {"csb":{"rc":0,"msg":"Client subscribed"}}
[2025-08-23 22:03:55.586] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":32,"TS":"2025-08-23T17:33:49.946","TID":1,"PID":1,"M":3,"S":25,"PLID":214225,"PLUUID":"otan631zzfnq2sektkl3ywo9","PN":"J. Rodon","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":27.8,"Y":57.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["9.5"]},{"I":141,"V":["51.8"]},{"I":212,"V":["19.65762"]},{"I":213,"V":["3.354203"]},{"I":318,"V":["0.00000056"]}]}}}
[2025-08-23 22:03:56.964] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":33,"TS":"2025-08-23T17:33:53.227","TID":1,"PID":1,"M":3,"S":28,"PLID":201595,"PLUUID":"dve7yj8usejn9x7pmdjvozje1","PN":"Lucas Perri","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":0,"X":10.4,"Y":54,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":155,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["67.8"]},{"I":141,"V":["66.1"]},{"I":212,"V":["60.82905"]},{"I":213,"V":["0.1356802"]},{"I":1,"V":["NULL"]}]}}}
[2025-08-23 22:03:58.764] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":50,"TS":"2025-08-23T17:33:57.837","TID":12,"PID":1,"M":3,"S":33,"PLID":462424,"PLUUID":"65rqu55qbzswixgqw2efna06i","PN":"W. Saliba","TEAMID":3,"TUUID":"4dsgumo7d4zupm2ugsvm4zm4d","O":1,"X":36.3,"Y":21.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["36.3"]},{"I":141,"V":["21.3"]},{"I":212,"V":["0"]},{"I":213,"V":["0"]}]}}}
[2025-08-23 22:03:59.348] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":51,"TS":"2025-08-23T17:33:58.673","TID":5,"PID":1,"M":3,"S":33,"PLID":462424,"PLUUID":"65rqu55qbzswixgqw2efna06i","PN":"W. Saliba","TEAMID":3,"TUUID":"4dsgumo7d4zupm2ugsvm4zm4d","O":0,"X":41.3,"Y":-1.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-23 22:04:07.484] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":34,"TS":"2025-08-23T17:33:58.602","TID":5,"PID":1,"M":3,"S":33,"PLID":201595,"PLUUID":"dve7yj8usejn9x7pmdjvozje1","PN":"Lucas Perri","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":60.6,"Y":101.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Left"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-23 22:04:07.695] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":35,"TS":"2025-08-23T17:34:07.160","TID":61,"PID":1,"M":3,"S":42,"PLID":243526,"PLUUID":"fij46jr9fq43444gr1y8tl9l","PN":"G. Gudmundsson","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":39.7,"Y":81.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]}]}}}
[2025-08-23 22:04:20.131] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":36,"TS":"2025-08-23T17:34:17.370","TID":1,"PID":1,"M":3,"S":52,"PLID":243526,"PLUUID":"fij46jr9fq43444gr1y8tl9l","PN":"G. Gudmundsson","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":55.9,"Y":100.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":107,"V":["NULL"]},{"I":56,"V":["Left"]},{"I":140,"V":["65.3"]},{"I":141,"V":["89.4"]},{"I":212,"V":["12.50843"]},{"I":213,"V":["5.621679"]},{"I":318,"V":["0.00003937"]}]}}}
[2025-08-23 22:04:20.907] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":52,"TS":"2025-08-23T17:34:20.30","TID":7,"PID":1,"M":3,"S":55,"PLID":445122,"PLUUID":"aqlakf0mo95rlktf6xdbaegh5","PN":"J. Timber","TEAMID":3,"TUUID":"4dsgumo7d4zupm2ugsvm4zm4d","O":1,"X":29.8,"Y":4.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-23 22:04:21.557] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":53,"TS":"2025-08-23T17:34:20.541","TID":49,"PID":1,"M":3,"S":55,"PLID":445122,"PLUUID":"aqlakf0mo95rlktf6xdbaegh5","PN":"J. Timber","TEAMID":3,"TUUID":"4dsgumo7d4zupm2ugsvm4zm4d","O":1,"X":29.8,"Y":4.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[]}}}
