[2025-08-23 23:27:32.048] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-23 23:27:32.706] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-23 23:27:33.369] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"49e80e647ljijc5bz8tqc2l0"}}
[2025-08-23 23:27:33.523] [IN] {"csb":{"rc":0,"msg":"Client subscribed"}}
[2025-08-23 23:27:33.525] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":193,"TS":"2025-08-23T18:57:09.859","TID":13,"PID":1,"M":25,"S":55,"PLID":482652,"PLUUID":"5es43b4a7fv0lkmp63dj439ey","PN":"G. Simeone","TEAMID":175,"TUUID":"4ku8o6uf87yd8iecdalipo6wd","O":1,"X":92.2,"Y":33.8,"STAT":{"CPID":1,"SC":"1:1"},"RTL":1,"Q":[{"I":22,"V":["NULL"]},{"I":20,"V":["NULL"]},{"I":63,"V":["NULL"]},{"I":73,"V":["NULL"]},{"I":29,"V":["NULL"]},{"I":154,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":55,"V":["192"]},{"I":368,"V":["bo6oa0eyw3l0kmou8qswj9j49"]},{"I":102,"V":["66.9"]},{"I":103,"V":["6.94444444444444"]},{"I":321,"V":["0.0656"]},{"I":327,"V":["2"]},{"I":326,"V":["3"]},{"I":230,"V":["0.855769230769231"]},{"I":231,"V":["52.7083333333333"]}]}}}
[2025-08-23 23:27:47.723] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":195,"TS":"2025-08-23T18:57:47.298","TID":44,"PID":1,"M":26,"S":33,"PLID":224919,"PLUUID":"6xulax65kp4aid70nk7g5jr2t","PN":"Robin Le Normand","TEAMID":175,"TUUID":"4ku8o6uf87yd8iecdalipo6wd","O":0,"X":55,"Y":48.1,"STAT":{"CPID":1,"SC":"1:1"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-23 23:27:48.707] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":228,"TS":"2025-08-23T18:57:44.251","TID":1,"PID":1,"M":26,"S":30,"PLID":98448,"PLUUID":"8rgy29sd9okehwq8bzyb3v0t1","PN":"M. Dituro","TEAMID":954,"TUUID":"4yg9ttzw0m51048doksv8uq5r","O":1,"X":4.3,"Y":48.4,"STAT":{"CPID":1,"SC":"1:1"},"RTL":0,"Q":[{"I":124,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["44.5"]},{"I":141,"V":["50.1"]},{"I":212,"V":["42.22583"]},{"I":213,"V":["0.02738003"]},{"I":1,"V":["NULL"]},{"I":318,"V":["0.0000267"]},{"I":74,"V":["NULL"]}]}}}
[2025-08-23 23:27:49.307] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":229,"TS":"2025-08-23T18:57:48.331","TID":44,"PID":1,"M":26,"S":34,"PLID":219929,"PLUUID":"4sojot9t32l4a6fm3e39xkcfd","PN":"Rafa Mir","TEAMID":954,"TUUID":"4yg9ttzw0m51048doksv8uq5r","O":1,"X":44.4,"Y":50,"STAT":{"CPID":1,"SC":"1:1"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-23 23:27:49.563] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":230,"TS":"2025-08-23T18:57:48.971","TID":61,"PID":1,"M":26,"S":34,"PLID":219929,"PLUUID":"4sojot9t32l4a6fm3e39xkcfd","PN":"Rafa Mir","TEAMID":954,"TUUID":"4yg9ttzw0m51048doksv8uq5r","O":1,"X":44.4,"Y":50,"STAT":{"CPID":1,"SC":"1:1"},"RTL":0,"Q":[{"I":56,"V":["Back"]}]}}}
[2025-08-23 23:27:49.747] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":196,"TS":"2025-08-23T18:57:49.58","TID":44,"PID":1,"M":26,"S":34,"PLID":503523,"PLUUID":"9e7ybe0nsu3byq2tteey3zuy2","PN":"Pablo Barrios","TEAMID":175,"TUUID":"4ku8o6uf87yd8iecdalipo6wd","O":1,"X":58.2,"Y":45.5,"STAT":{"CPID":1,"SC":"1:1"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-23 23:27:50.122] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":197,"TS":"2025-08-23T18:57:49.474","TID":1,"PID":1,"M":26,"S":35,"PLID":503523,"PLUUID":"9e7ybe0nsu3byq2tteey3zuy2","PN":"Pablo Barrios","TEAMID":175,"TUUID":"4ku8o6uf87yd8iecdalipo6wd","O":0,"X":58.2,"Y":45.5,"STAT":{"CPID":1,"SC":"1:1"},"RTL":1,"Q":[{"I":3,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["55.8"]},{"I":141,"V":["56.3"]},{"I":212,"V":["7.764325"]},{"I":213,"V":["1.901344"]}]}}}
[2025-08-23 23:27:51.319] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":231,"TS":"2025-08-23T18:57:50.986","TID":61,"PID":1,"M":26,"S":36,"PLID":578538,"PLUUID":"1filh68q6hdk921qkdo7rsvmc","PN":"Rodrigo Mendoza","TEAMID":954,"TUUID":"4yg9ttzw0m51048doksv8uq5r","O":0,"X":40,"Y":46.6,"STAT":{"CPID":1,"SC":"1:1"},"RTL":0,"Q":[{"I":56,"V":["Back"]}]}}}
[2025-08-23 23:27:51.715] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":232,"TS":"2025-08-23T18:57:51.402","TID":1,"PID":1,"M":26,"S":37,"PLID":578538,"PLUUID":"1filh68q6hdk921qkdo7rsvmc","PN":"Rodrigo Mendoza","TEAMID":954,"TUUID":"4yg9ttzw0m51048doksv8uq5r","O":1,"X":41.6,"Y":47.2,"STAT":{"CPID":1,"SC":"1:1"},"RTL":0,"Q":[{"I":3,"V":["NULL"]},{"I":168,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["41.6"]},{"I":141,"V":["47.2"]},{"I":212,"V":["0"]},{"I":213,"V":["0"]},{"I":318,"V":["0.00001588"]}]}}}
