[2025-08-23 22:14:37.940] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-23 22:14:38.606] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-23 22:14:39.256] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"cj1crau6yj93nnyk80lzjpes4"}}
[2025-08-23 22:14:39.408] [IN] {"csb":{"rc":0,"msg":"Client subscribed"}}
[2025-08-23 22:14:39.409] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":104,"TS":"2025-08-23T17:44:36.760","TID":1,"PID":1,"M":10,"S":33,"PLID":556111,"PLUUID":"6vz9qzgtbh3iqzv73xw2xaiok","PN":"V. Carboni","TEAMID":990,"TUUID":"4kumqzwifv478caxed8zywlh3","O":1,"X":45.4,"Y":6.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["34"]},{"I":141,"V":["17.4"]},{"I":212,"V":["14.22409"]},{"I":213,"V":["2.570906"]},{"I":318,"V":["0.00000779"]}]}}}
[2025-08-23 22:14:41.785] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":105,"TS":"2025-08-23T17:44:38.697","TID":1,"PID":1,"M":10,"S":35,"PLID":496181,"PLUUID":"bj9f6t8o0nji79rbaxrsioep6","PN":"B. Norton-Cuffy","TEAMID":990,"TUUID":"4kumqzwifv478caxed8zywlh3","O":1,"X":34.2,"Y":17.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["27.1"]},{"I":141,"V":["33.6"]},{"I":212,"V":["13.18906"]},{"I":213,"V":["2.171522"]},{"I":318,"V":["0.00000397"]}]}}}
[2025-08-23 22:14:44.176] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":106,"TS":"2025-08-23T17:44:41.478","TID":1,"PID":1,"M":10,"S":38,"PLID":624931,"PLUUID":"1lxfpn0wmr895me9xbzcfnh90","PN":"A. Marcandalli","TEAMID":990,"TUUID":"4kumqzwifv478caxed8zywlh3","O":1,"X":28.9,"Y":43.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["29.2"]},{"I":141,"V":["71.8"]},{"I":212,"V":["19.1106"]},{"I":213,"V":["1.554313"]},{"I":318,"V":["0.00000501"]}]}}}
[2025-08-23 22:14:46.823] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":107,"TS":"2025-08-23T17:44:43.869","TID":1,"PID":1,"M":10,"S":40,"PLID":431026,"PLUUID":"7ojvhhfvbtbn60sc50y4l2ctm","PN":"J. V\u00e1squez","TEAMID":990,"TUUID":"4kumqzwifv478caxed8zywlh3","O":1,"X":29.2,"Y":72.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["34.4"]},{"I":141,"V":["94.2"]},{"I":212,"V":["15.60628"]},{"I":213,"V":["1.213376"]},{"I":318,"V":["0.00000475"]}]}}}
[2025-08-23 22:14:49.476] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":108,"TS":"2025-08-23T17:44:46.509","TID":1,"PID":1,"M":10,"S":43,"PLID":234369,"PLUUID":"eh9sh9aa10zrp80l6e4l0c7h1","PN":"Aar\u00f3n Mart\u00edn","TEAMID":990,"TUUID":"4kumqzwifv478caxed8zywlh3","O":1,"X":31.1,"Y":89.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["18.9"]},{"I":141,"V":["72.4"]},{"I":212,"V":["17.20936"]},{"I":213,"V":["3.87281"]},{"I":318,"V":["0.00000139"]}]}}}
[2025-08-23 22:14:53.275] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":109,"TS":"2025-08-23T17:44:49.88","TID":1,"PID":1,"M":10,"S":45,"PLID":431026,"PLUUID":"7ojvhhfvbtbn60sc50y4l2ctm","PN":"J. V\u00e1squez","TEAMID":990,"TUUID":"4kumqzwifv478caxed8zywlh3","O":1,"X":13.1,"Y":69.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["2.1"]},{"I":141,"V":["51"]},{"I":212,"V":["17.17845"]},{"I":213,"V":["3.975005"]},{"I":318,"V":["0.00000017"]}]}}}
[2025-08-23 22:14:57.287] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":104,"TS":"2025-08-23T17:44:56.938","TID":49,"PID":1,"M":10,"S":53,"PLID":462484,"PLUUID":"1oszv53od5pulbhx566ht984q","PN":"A. Gallo","TEAMID":130,"TUUID":"bi1fxjrncd0ram0oi7ja1jyuo","O":1,"X":33.2,"Y":84,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[]}}}
[2025-08-23 22:14:58.691] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":110,"TS":"2025-08-23T17:44:52.947","TID":1,"PID":1,"M":10,"S":49,"PLID":87968,"PLUUID":"9dc7uictce9dq0tbphn74qz85","PN":"N. Leali","TEAMID":990,"TUUID":"4kumqzwifv478caxed8zywlh3","O":0,"X":3.5,"Y":46.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":155,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["69.7"]},{"I":141,"V":["25.9"]},{"I":212,"V":["70.8542"]},{"I":213,"V":["6.088087"]},{"I":1,"V":["NULL"]}]}}}
[2025-08-23 22:15:02.804] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":105,"TS":"2025-08-23T17:44:58.939","TID":1,"PID":1,"M":10,"S":55,"PLID":462484,"PLUUID":"1oszv53od5pulbhx566ht984q","PN":"A. Gallo","TEAMID":130,"TUUID":"bi1fxjrncd0ram0oi7ja1jyuo","O":1,"X":30.5,"Y":77.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["32.0"]},{"I":141,"V":["30.7"]},{"I":212,"V":["31.59129"]},{"I":213,"V":["4.762265"]},{"I":318,"V":["0.00000889"]}]}}}
