[2025-08-23 19:10:20.550] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-23 19:10:21.324] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-23 19:10:21.983] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"ct1wksqog4t3a6w7kt2fc4jys"}}
[2025-08-23 19:10:22.123] [IN] {"csb":{"rc":0,"msg":"Client subscribed"}}
[2025-08-23 19:10:22.125] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":105,"TS":"2025-08-23T14:40:18.574","TID":1,"PID":1,"M":10,"S":2,"PLID":513536,"PLUUID":"58d87tochcm6hk4n6l7ua7jvu","PN":"S. Mbangula","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":1,"X":60.2,"Y":80.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["48.4"]},{"I":141,"V":["80.6"]},{"I":212,"V":["12.39168"]},{"I":213,"V":["3.125129"]},{"I":318,"V":["0.00008278"]}]}}}
[2025-08-23 19:10:29.406] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":106,"TS":"2025-08-23T14:40:20.157","TID":1,"PID":1,"M":10,"S":3,"PLID":449695,"PLUUID":"f14n6d52p37nkvoo5n3i52x2h","PN":"F. Agu","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":1,"X":47.4,"Y":79.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["33.4"]},{"I":141,"V":["55"]},{"I":212,"V":["22.11634"]},{"I":213,"V":["3.985341"]},{"I":318,"V":["0.00001986"]}]}}}
[2025-08-23 19:10:32.582] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":107,"TS":"2025-08-23T14:40:29.38","TID":1,"PID":1,"M":10,"S":12,"PLID":96601,"PLUUID":"26nfmfc8p2doisd9p8vtd33dh","PN":"L. Bittencourt","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":1,"X":36.3,"Y":41.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["31.4"]},{"I":141,"V":["67.4"]},{"I":212,"V":["18.21762"]},{"I":213,"V":["1.857111"]},{"I":318,"V":["0.000011"]}]}}}
[2025-08-23 19:10:39.797] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":108,"TS":"2025-08-23T14:40:32.397","TID":1,"PID":1,"M":10,"S":15,"PLID":225335,"PLUUID":"aaoycxwi9jny6flm4apz8a2uh","PN":"M. Friedl","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":1,"X":31.2,"Y":70,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["38.5"]},{"I":141,"V":["97.8"]},{"I":212,"V":["20.39886"]},{"I":213,"V":["1.185584"]},{"I":318,"V":["0.00001017"]}]}}}
[2025-08-23 19:10:45.407] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":109,"TS":"2025-08-23T14:40:39.486","TID":1,"PID":1,"M":10,"S":22,"PLID":449695,"PLUUID":"f14n6d52p37nkvoo5n3i52x2h","PN":"F. Agu","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":1,"X":50.3,"Y":84.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["43.9"]},{"I":141,"V":["74"]},{"I":212,"V":["9.904472"]},{"I":213,"V":["3.966696"]},{"I":318,"V":["0.00004437"]}]}}}
[2025-08-23 19:10:47.944] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":110,"TS":"2025-08-23T14:40:45.102","TID":1,"PID":1,"M":10,"S":28,"PLID":444687,"PLUUID":"39tod1iad3ztq17qveh8pwp9l","PN":"S. Lynen","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":1,"X":38.9,"Y":68.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["38.7"]},{"I":141,"V":["81.4"]},{"I":212,"V":["8.910475"]},{"I":213,"V":["1.594366"]},{"I":318,"V":["0.00001696"]}]}}}
[2025-08-23 19:10:49.827] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":111,"TS":"2025-08-23T14:40:47.742","TID":1,"PID":1,"M":10,"S":31,"PLID":225335,"PLUUID":"aaoycxwi9jny6flm4apz8a2uh","PN":"M. Friedl","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":1,"X":39.6,"Y":83.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["47.6"]},{"I":141,"V":["99.6"]},{"I":212,"V":["13.96163"]},{"I":213,"V":["0.9252324"]},{"I":318,"V":["0.00002409"]}]}}}
[2025-08-23 19:10:50.203] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":112,"TS":"2025-08-23T14:40:49.549","TID":1,"PID":1,"M":10,"S":33,"PLID":449695,"PLUUID":"f14n6d52p37nkvoo5n3i52x2h","PN":"F. Agu","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":0,"X":47.6,"Y":99.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["46"]},{"I":141,"V":["98.4"]},{"I":212,"V":["1.867687"]},{"I":213,"V":["3.593746"]}]}}}
[2025-08-23 19:10:52.665] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":86,"TS":"2025-08-23T14:40:52.316","TID":74,"PID":1,"M":10,"S":35,"PLID":554087,"PLUUID":"4a59itr8bwm9auhz9f2dno104","PN":"C. Uzun","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":57.6,"Y":5.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-23 19:10:53.209] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":87,"TS":"2025-08-23T14:40:52.797","TID":5,"PID":1,"M":10,"S":36,"PLID":554087,"PLUUID":"4a59itr8bwm9auhz9f2dno104","PN":"C. Uzun","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":0,"X":55.1,"Y":-1.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-23 19:11:02.974] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":113,"TS":"2025-08-23T14:40:50.750","TID":5,"PID":1,"M":10,"S":34,"PLID":449695,"PLUUID":"f14n6d52p37nkvoo5n3i52x2h","PN":"F. Agu","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":1,"X":44.1,"Y":101.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-23 19:11:04.188] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":114,"TS":"2025-08-23T14:41:02.814","TID":1,"PID":1,"M":10,"S":46,"PLID":449695,"PLUUID":"f14n6d52p37nkvoo5n3i52x2h","PN":"F. Agu","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":1,"X":37,"Y":101.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":107,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["41.6"]},{"I":141,"V":["95.9"]},{"I":212,"V":["6.026418"]},{"I":213,"V":["5.64214"]},{"I":318,"V":["0.00000307"]}]}}}
[2025-08-23 19:11:04.841] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":115,"TS":"2025-08-23T14:41:03.918","TID":1,"PID":1,"M":10,"S":47,"PLID":228564,"PLUUID":"b4q9q0qgmtz959rygieg9ln1l","PN":"R. Schmid","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":1,"X":41.6,"Y":95.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["41.6"]},{"I":141,"V":["95.2"]},{"I":212,"V":["0"]},{"I":213,"V":["0"]},{"I":318,"V":["0.00001176"]}]}}}
[2025-08-23 19:11:09.736] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":116,"TS":"2025-08-23T14:41:05.694","TID":1,"PID":1,"M":10,"S":49,"PLID":449695,"PLUUID":"f14n6d52p37nkvoo5n3i52x2h","PN":"F. Agu","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":0,"X":32.4,"Y":98.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":157,"V":["NULL"]},{"I":56,"V":["Right"]},{"I":140,"V":["51.4"]},{"I":141,"V":["15"]},{"I":212,"V":["60.18281"]},{"I":213,"V":["5.050272"]},{"I":1,"V":["NULL"]}]}}}
[2025-08-23 19:11:11.804] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":88,"TS":"2025-08-23T14:41:10.109","TID":1,"PID":1,"M":10,"S":53,"PLID":465189,"PLUUID":"8qlz4omhgfnzyb2cgeou7xn56","PN":"A. Theate","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":0,"X":45.6,"Y":77.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":3,"V":["NULL"]},{"I":56,"V":["Left"]},{"I":140,"V":["66.6"]},{"I":141,"V":["82.3"]},{"I":212,"V":["22.26131"]},{"I":213,"V":["0.1378948"]}]}}}
