[2025-08-23 19:12:49.289] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-23 19:12:49.948] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-23 19:12:50.600] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"cvxiwe1m7tpfeel02s60xym8k"}}
[2025-08-23 19:12:50.748] [IN] {"csb":{"rc":0,"msg":"Client subscribed"}}
[2025-08-23 19:12:50.750] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":106,"TS":"2025-08-23T14:42:43.958","TID":1,"PID":1,"M":12,"S":13,"PLID":584651,"PLUUID":"f46s4bfeipn0k33s0brsu4yl0","PN":"L\u00e9o Scienza","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":1,"X":56.4,"Y":62.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["61.7"]},{"I":141,"V":["76.2"]},{"I":212,"V":["10.73507"]},{"I":213,"V":["1.025824"]},{"I":318,"V":["0.00043506"]}]}}}
[2025-08-23 19:12:51.129] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":107,"TS":"2025-08-23T14:42:44.646","TID":1,"PID":1,"M":12,"S":13,"PLID":204587,"PLUUID":"5q3ft0wiy6lsy937j7nw6msq1","PN":"N. Dorsch","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":1,"X":61.7,"Y":76.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["57.5"]},{"I":141,"V":["70.8"]},{"I":212,"V":["5.826574"]},{"I":213,"V":["3.853868"]},{"I":318,"V":["0.00030485"]}]}}}
[2025-08-23 19:12:53.771] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":108,"TS":"2025-08-23T14:42:50.918","TID":1,"PID":1,"M":12,"S":20,"PLID":584651,"PLUUID":"f46s4bfeipn0k33s0brsu4yl0","PN":"L\u00e9o Scienza","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":1,"X":60.6,"Y":86.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["53.2"]},{"I":141,"V":["67.3"]},{"I":212,"V":["15.36882"]},{"I":213,"V":["4.182347"]},{"I":318,"V":["0.00020858"]}]}}}
[2025-08-23 19:12:55.860] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":109,"TS":"2025-08-23T14:42:53.462","TID":1,"PID":1,"M":12,"S":22,"PLID":204587,"PLUUID":"5q3ft0wiy6lsy937j7nw6msq1","PN":"N. Dorsch","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":1,"X":46.6,"Y":69,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["34.6"]},{"I":141,"V":["51.4"]},{"I":212,"V":["17.37795"]},{"I":213,"V":["3.901272"]},{"I":318,"V":["0.00002194"]}]}}}
[2025-08-23 19:12:57.507] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":110,"TS":"2025-08-23T14:42:55.638","TID":1,"PID":1,"M":12,"S":24,"PLID":180161,"PLUUID":"2hrvu72syd3vyic6ylygxbyl1","PN":"B. Gimber","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":1,"X":34.6,"Y":51.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["26.8"]},{"I":141,"V":["30.3"]},{"I":212,"V":["16.40296"]},{"I":213,"V":["4.189598"]},{"I":318,"V":["0.00000585"]}]}}}
[2025-08-23 19:13:03.648] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":111,"TS":"2025-08-23T14:42:57.238","TID":1,"PID":1,"M":12,"S":26,"PLID":483085,"PLUUID":"f2ibn3ej2doay3b4u8ezeix62","PN":"D. Ramaj","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":1,"X":26.4,"Y":30.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["28.0"]},{"I":141,"V":["63.5"]},{"I":212,"V":["22.36718"]},{"I":213,"V":["1.495615"]},{"I":318,"V":["0.00000653"]}]}}}
[2025-08-23 19:13:12.008] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":112,"TS":"2025-08-23T14:43:03.318","TID":1,"PID":1,"M":12,"S":32,"PLID":180161,"PLUUID":"2hrvu72syd3vyic6ylygxbyl1","PN":"B. Gimber","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":1,"X":36,"Y":76.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["48.5"]},{"I":141,"V":["83.5"]},{"I":212,"V":["14.05655"]},{"I":213,"V":["0.3661063"]},{"I":318,"V":["0.00004753"]}]}}}
[2025-08-23 19:13:15.010] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":93,"TS":"2025-08-23T14:42:33.406","TID":43,"PID":1,"M":12,"S":2,"PLID":229046,"PLUUID":"3hd9nxdb54zn4fhbf7qa7x0q1","PN":"L. Majer","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":46.0999984741211,"Y":67.1999969482422,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":142,"V":[null]},{"I":144,"V":["61"]}]}}}
[2025-08-23 19:13:15.804] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":113,"TS":"2025-08-23T14:43:11.671","TID":1,"PID":1,"M":12,"S":40,"PLID":584651,"PLUUID":"f46s4bfeipn0k33s0brsu4yl0","PN":"L\u00e9o Scienza","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":1,"X":46.1,"Y":82.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["33.4"]},{"I":141,"V":["46.2"]},{"I":212,"V":["28.11554"]},{"I":213,"V":["4.218228"]},{"I":318,"V":["0.00002118"]}]}}}
